#Upper Colorado Basin Intervening Natural Flows (ac-ft/mon)
#start 1 1906
#end 12 2001
"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ"
102674,57805,4705,64295,18000,92421,149546,-37765,90000,18400,106453,97600,11370,33386,53200,-37729,16650,210558,142142,-7833
472774,442518,32336,297674,71300,571479,475871,-12663,342200,-4900,226862,436814,55700,268822,189493,210370,73476,446520,355980,-253048
700102,552749,43014,322214,62800,315545,261513,89838,649600,38000,217376,368990,277490,431301,186892,270260,84414,494079,375821,19056
227573,199203,21091,105191,10600,121795,74484,48473,241200,20900,66877,93285,77740,121031,75027,85499,21655,117606,174494,256166
126765,107364,9675,72395,5600,65582,55865,6351,131100,12200,53206,31372,67640,66394,40518,20640,12451,61478,69022,132900
88307,66218,9194,32044,3400,35645,33354,8683,73900,5700,21333,19094,45040,44675,30512,15343,6175,29947,29653,59174
59235,40286,6288,20912,2900,29156,21426,-10671,45300,1300,27782,13104,12660,20226,18795,-3607,3617,19398,8437,37
51476,46410,4923,23077,4100,29671,14410,14328,37000,3000,13893,16100,12490,31611,20342,21418,5143,37242,5558,8653
49008,56203,5210,18790,2400,34895,14130,8038,30000,700,12899,22100,2950,38969,16522,10178,3548,21592,33308,18392
46922,59520,3426,18574,1900,30911,14620,7944,24000,600,21889,19600,11470,35250,16130,8744,3881,22778,25022,2031
41132,43132,3771,17229,2800,21086,15446,9643,21000,1200,23034,21100,7420,33941,16878,-5024,3505,33883,49717,-20441
47049,46287,4051,25949,5000,15898,26019,1531,33000,5100,29076,26400,38660,33896,35598,26618,4771,43578,31422,-30442
92987,100874,7324,61676,17800,48526,155818,-33898,101000,19000,110062,181771,95860,94936,66226,33215,8301,135428,83007,-63554
516926,365210,34581,273429,65500,388164,288286,-65228,351000,-7500,209491,526085,10830,266854,154249,142156,51654,331915,222455,-290659
930901,526711,60720,373308,76200,285898,197255,24940,454400,20800,240222,430626,124060,357238,180697,157715,108712,342613,235092,-50496
449785,342146,44078,187904,23900,161889,96635,33794,383900,33800,90407,140950,79760,151969,107642,88294,43707,163985,171871,257270
203799,159109,19654,114716,9200,105633,65018,6287,143600,11500,53465,45942,86670,63473,60122,62321,20032,101999,170978,241168
109083,89161,12201,67437,5800,55464,41262,-8306,64900,3800,32596,23646,36630,28900,37681,10997,7120,118503,128867,147797
111254,59957,11698,49302,5900,53347,20233,2574,66000,8800,24798,26184,27980,43318,35300,10465,5400,67020,76949,41043
76335,53604,6715,38285,6200,38195,17408,6482,49000,6900,8090,19900,21380,38869,30200,27664,7920,51889,48111,93148
52703,50644,5324,23676,1700,34675,10837,4275,32000,1800,8688,15300,2240,34389,29400,5774,3355,40449,34551,32045
52309,34545,5243,21757,3700,29399,7857,-4433,29000,1700,15011,15000,2680,22859,27000,-21119,3796,31069,25931,9260
48601,48996,3734,22266,3900,27224,18677,15578,28000,3600,15657,15500,21510,44037,24100,15084,5561,32883,82117,29865
51715,40862,4413,27587,5500,18142,19403,2596,45000,12800,49921,19600,21790,32780,28200,-3495,7081,34953,36647,53418
149244,126570,11893,100107,26800,71214,182426,-31103,142000,25900,67456,150139,102630,99819,31500,65347,14982,220496,126473,-18332
497805,332565,34243,266767,65900,299688,200129,-39612,247000,-4100,111979,333320,62280,155365,92800,32800,58062,333145,272494,-88531
814116,421825,53345,304583,59700,299386,125507,26250,221700,4700,27543,309803,31220,106302,122000,136615,62229,281433,195076,177488
259635,199777,14952,98930,10500,103698,46473,43641,127500,18600,15404,67041,54530,34491,35600,105737,17349,80835,100129,237200
99639,63685,7096,47374,4300,46004,22440,16557,57400,8200,26382,24717,44150,16183,28200,34049,9228,42086,45664,77401
66221,52793,10654,21884,2500,25328,16601,-603,44700,1600,17073,18738,14050,20557,25100,-6063,5608,26375,23164,3547
84166,40228,7407,26593,2700,50053,13793,-8748,42000,200,7072,26649,3230,9987,24800,-2787,1551,20101,21403,17963
67813,29822,5188,27812,5000,42251,7755,4466,36000,2600,8972,24100,3610,21016,22600,5844,3528,31823,6977,35390
45164,34181,5473,21527,1900,31497,6341,3382,28000,1200,6991,22100,2240,16161,22400,-23829,2445,13090,32410,2744
45183,29541,3602,21398,2600,30536,6593,-4180,21000,500,15775,18400,750,19300,21500,-4489,3356,11148,23252,-3640
40804,31682,3747,19253,4200,30003,10347,4361,23000,1900,15783,17700,15830,30921,22400,4780,4720,15756,29244,76726
77956,28821,4983,35017,7900,45537,20022,1358,55000,17900,57308,41800,35150,31650,36200,3389,10957,51298,45002,327
166733,105002,13037,118963,33000,109928,136409,-59054,98000,15900,81744,194005,20680,55545,56900,-38305,14690,137472,75632,45914
419751,276650,28824,195186,50100,190761,166234,-27497,218300,-1200,147510,341621,48050,146967,107400,-49611,42199,209884,176824,-151318
470355,310362,28952,180476,35100,170756,127481,24992,339700,22200,84407,221067,25680,151567,98900,25134,49670,230875,134538,128690
236521,213013,19889,116093,10200,133043,77686,28083,322000,34600,28363,79554,75730,97519,68300,99758,26865,132641,135331,151335
125275,105935,11271,79399,5400,53022,48629,1984,137900,8400,46043,31067,53990,54520,43100,27926,15045,89459,82265,20022
110903,114186,10548,51890,3900,85518,59515,11389,72800,5700,26583,32042,48160,47071,43500,20777,9430,148613,190595,81591
91396,57676,9421,38579,5000,84124,39400,6182,65300,12500,4048,33200,45810,62438,47400,32047,7359,99097,140842,138711
64705,44817,5850,33150,4600,36731,19005,14739,45000,9200,6339,23300,17350,33895,37200,21058,7372,45490,54510,84255
48559,41816,4969,21031,1600,33888,9046,10919,39000,4000,4152,24600,980,35012,36800,3995,3519,26095,45905,51245
45402,35906,2943,17057,2100,27090,8178,3539,37000,2900,11963,23600,970,20050,35600,-13835,3619,18463,36537,40495
39001,31544,3293,15707,2600,34651,10942,5945,32000,4100,23476,20500,750,29595,32200,-12992,4470,25752,51848,-1839
54752,48091,4520,27480,4800,32941,32268,9719,61000,21300,54083,54100,50550,43247,40500,21757,9960,53756,41244,-22269
197594,144486,12056,70944,20100,171636,211670,-29510,117000,21900,74317,226600,37950,82320,62800,10211,21814,170266,77473,-66639
601811,378913,32683,203327,53000,298009,220506,4444,221700,2600,115169,394220,79540,194547,121500,48892,64148,325794,195884,-10621
888322,466245,53909,267819,56600,262971,125680,61597,203700,3800,88603,269878,56390,146849,145400,86230,78721,353749,270169,189074
420167,243285,26488,107594,10600,141476,46734,40616,149800,14900,22015,66091,76450,70618,66000,95614,25933,79565,131015,163911
165558,84610,12087,62083,5300,61615,22648,10474,81900,7500,30935,32824,56200,42839,45800,33094,13991,60937,57860,77981
72277,43403,9762,27476,2600,26505,15843,-927,49900,2500,19090,16624,15220,21974,23200,-8701,8141,36942,25036,52141
65037,47333,6310,31890,3500,48188,37209,-6614,41200,600,26075,19794,5250,10620,36200,-13362,3195,45451,60723,-6903
56936,35322,3945,27055,4800,38721,15145,4907,35000,2900,14220,18100,720,14887,24100,-4813,2447,40850,12150,-12499
45788,38426,3067,24933,2100,34760,13210,4010,22000,8700,-530,20200,590,28935,24900,1181,3451,21053,30947,51627
43431,41673,2636,21364,3000,32060,11663,7622,26000,1600,14071,19600,780,24091,24600,-5877,3816,23976,26924,14409
38914,38021,2668,21332,3700,30293,15823,9653,25000,2700,12129,17200,2700,27509,30500,-3855,4271,34245,48155,27874
52940,40834,2123,30877,6300,36901,31836,7392,40000,8700,40663,36200,12850,25571,52800,5425,7395,66804,59196,40933
135702,86777,7631,80369,22300,125388,216532,-13865,64000,8100,74413,189800,9620,43126,30900,-20447,14265,235248,130245,-170633
711125,424425,37221,317789,76500,363021,299264,-10837,220300,-1300,179980,520496,33170,205535,98800,95529,70690,403551,315111,-224446
711514,462090,49292,298136,59500,237020,217860,57247,503900,56500,153227,364739,49330,240966,107000,-2378,90816,382615,239193,-213812
324628,317975,30217,149665,16900,172658,114448,53828,338400,29300,62160,112785,139040,115935,64500,176233,38942,273177,233513,371000
183243,158331,14581,89289,8700,57630,94015,15514,132800,10000,62315,41282,66120,51712,41600,-5597,20543,97635,85916,95867
99459,134874,17410,88428,8100,84804,113591,31934,105900,10800,29287,21200,107820,110335,36700,111994,15541,313663,396899,278223
95601,81058,12705,57295,7000,69731,57887,10368,73500,19600,397,30955,43450,68183,33900,41930,8680,70500,127759,69383
79431,60127,8660,43340,7400,39879,25229,12604,60000,19100,-9392,40000,22550,53865,32600,42155,10580,48600,75883,66642
62131,62068,7590,32410,3000,38263,17431,8706,39000,4000,4312,33200,1120,36628,27600,1915,4479,31700,28010,591
58637,47682,5016,27984,5100,43936,14663,6060,29000,1700,16296,25800,23440,35864,25800,17263,4771,31700,28046,20871
46871,48377,4170,23830,5300,34535,17744,10796,22000,1000,24454,29900,19250,37727,24100,1491,5392,36600,48138,21361
72912,53226,5206,43794,9400,45613,41570,11159,52000,14600,38437,88500,25860,53277,46100,79937,9279,90400,42134,-68506
129461,104465,9447,79553,22800,74000,154292,-22150,72000,10400,116358,171300,9510,34704,47100,-50125,14474,116700,32434,-100745
852689,472659,52100,395910,99300,358079,257578,-38059,393800,1800,210255,618280,21670,310201,185300,243715,80052,250400,167917,-352838
814608,458152,62300,330179,69200,208877,149493,51282,329000,14700,102935,362187,143200,198824,128700,176129,80664,163341,205256,222735
451908,256693,33794,147680,16600,131302,67300,37646,248100,25400,48319,100300,50250,78218,77400,76166,28189,52296,108272,205628
154077,106915,12632,74318,5900,56711,34812,16896,141100,10600,40483,34906,53570,49594,53900,5282,14341,36713,52490,93041
96451,67809,13232,34710,3500,47264,26616,-438,61000,5100,21350,27761,16010,24370,42200,-10582,5991,23400,48617,4356
77619,63266,7324,29776,4500,43673,40654,1539,45400,4500,7890,25100,28540,42803,54800,15235,5087,19100,32053,76559
66884,44897,6688,42312,5500,29758,14374,18640,39000,4400,10138,28300,9830,29522,39100,11735,4458,32200,46672,85682
42504,35417,4587,19413,1800,32439,8481,566,27000,2500,6674,23300,2900,28594,24600,-15248,2086,18200,28176,50268
47234,38460,2707,18293,2300,22062,7159,2016,25000,1400,19010,24600,3930,29328,27600,-4156,2216,15700,21978,24986
41334,29369,2369,17631,3300,23183,8544,2799,21000,1200,28694,22200,2820,33011,24900,-21059,3975,16600,32001,52190
58493,49761,2752,42248,7800,56985,42943,7014,48000,15900,53217,116800,66450,57353,70700,58541,9644,73800,77244,8104
135888,120806,6343,76657,20000,102789,246434,-6482,123000,26100,62327,294000,42330,83602,146700,-43408,14625,203800,124041,-81439
594891,403416,37398,312612,75100,504329,368243,-54370,182000,-8500,119700,699177,17590,232728,217700,153184,61855,359800,222050,-222643
945700,573610,67465,369473,78300,376836,247724,50753,300400,700,182249,555278,165830,306317,250200,113821,109871,317072,257770,145270
424620,280438,42230,149154,20000,198242,103713,-5039,186000,14400,81116,176899,75160,134590,190800,62309,44741,110217,211492,243406
235817,200007,24670,142605,12500,141764,103213,17640,100800,6700,65551,52889,60500,70255,121400,9576,25227,247455,333563,417621
162094,143240,24367,132471,9600,143561,105281,8419,70600,4800,33369,60143,43360,69748,116200,20351,16076,191900,252788,134032
110901,84045,13433,74067,7800,65198,73118,4001,59100,-900,15207,44433,24480,56270,64000,2507,6340,79400,60190,121154
76219,52194,7159,45841,7700,54044,24756,9963,43000,-5200,21445,33900,4600,29827,42400,-2219,4795,32200,27621,50065
54813,54355,3949,29051,2600,38050,17324,4283,37000,-1200,9502,29500,1560,28140,30700,-2302,2981,17900,23436,55602
51483,32882,3206,19794,1600,25284,11529,-667,29300,-9800,24532,20900,2380,17251,23300,-26818,3198,15100,14192,40144
47105,46703,3484,17516,3900,52473,23949,11389,29300,-5900,22177,21100,34150,40630,31100,62754,5431,28600,41462,-31916
55027,41204,4423,24577,4800,38321,31186,5175,48500,6900,61448,48200,27250,34229,36800,-14401,5629,44700,31847,39430
266239,139312,16300,156700,44400,192578,228138,-60606,116000,46000,54485,262563,8400,77983,74300,-9746,10603,187000,81277,-99255
386314,191433,24595,160415,41000,226364,198252,-71982,222300,-61600,142107,279033,37900,103781,75800,-24600,21594,176700,109900,-70825
604498,446647,40297,244808,50300,233854,228871,26180,412400,-56800,181816,260103,97670,178074,121300,57647,76117,192499,232967,95576
224591,205466,24316,88204,11400,102243,90467,-7865,244300,-12900,82907,41390,82290,92915,42000,21366,35167,87523,103102,134839
222107,189319,16645,107061,8900,100110,67802,12102,117700,123200,-62128,48098,109320,106106,62600,168614,24386,101586,185975,181512
104215,71550,6973,42189,3300,40966,31596,-5598,58500,22100,12552,32106,44810,46205,34200,23423,6132,26000,25723,64111
79936,46574,6570,31430,4300,51683,37102,5197,78900,10500,5389,43320,21650,45708,30700,13184,6809,21300,15253,32054
50877,35765,5335,24665,4200,36739,11978,5335,35200,4400,11625,41100,3850,22364,23100,7028,5483,17300,13441,63929
40409,28244,6185,22815,1700,36829,9129,-2362,28300,400,3307,31000,4530,30238,14100,4182,2605,16800,8402,1747
36151,31274,4621,18379,3400,40011,9650,-8015,18500,100,16954,19900,4220,23952,17800,-5724,3454,13800,6828,8407
35177,35928,3444,17556,3400,33140,18718,5325,20400,-200,21771,19900,8330,25302,20800,-6405,4361,17700,32571,49420
44368,32414,3657,23343,4200,20805,19731,-1184,35700,6400,30225,45500,24000,25138,32200,19647,8893,28500,9249,17047
94951,33480,8812,35188,11000,12666,67322,-26258,55500,6000,45465,163742,8890,25335,40200,-39183,8335,77700,-752,-30753
273464,164695,15833,54181,15200,96419,130528,-45767,81400,-13200,79481,242499,14280,50439,66000,434,24687,168000,63569,-94458
398147,253279,23358,89036,18500,111640,124232,-8198,163900,100,19122,191910,25830,68365,71100,123467,32490,142853,129408,64189
136312,123758,10701,45846,4900,104088,88644,-20761,72600,3600,26600,46805,66610,38152,29900,76833,11448,66858,97243,117461
84319,65901,6624,39246,3400,55554,50707,-6941,54500,2600,21051,25148,36690,26928,30800,26176,9099,45624,69633,24618
62930,59097,8268,17670,2600,29835,36261,1656,31900,-1400,10611,12266,8140,15910,24800,1985,4560,50000,53173,-5836
51738,39896,5800,25400,3200,60691,46055,4644,27600,-2700,3464,18471,6800,17025,25700,2538,2912,66300,90806,39944
38483,30010,5442,24558,4700,42298,18801,5219,23400,-1000,9210,17800,2710,12244,23300,3996,2472,30700,34059,24919
30109,26742,4775,23225,1500,36722,8192,-1050,18900,-1100,8925,15100,1700,15026,26100,-28590,2363,19200,26331,18472
28846,34234,4495,18505,1600,22438,8088,-1181,16000,-700,21471,10800,2330,19305,25800,-13679,2650,19400,15747,36781
30518,44425,3134,15866,3400,46222,22261,11636,18900,-1700,27283,11200,1770,28037,26400,-18323,4144,59500,147722,74887
43989,39845,4149,22851,4900,44283,30866,3658,38600,4200,53274,56200,24910,31641,43600,3567,8621,150000,56041,8636
144397,102047,11302,73698,20700,242270,240176,-72546,76600,6100,92587,200000,40920,62944,47300,-25726,17000,384000,85205,-72846
551959,500119,35130,244880,61800,426556,417227,11692,201800,-10200,196281,520276,102630,251298,131600,84762,64566,486500,178919,-171549
676203,470944,53328,266800,57200,216389,189567,54459,365400,-2400,211008,384395,110310,233405,122000,3768,57295,390442,227363,105637
315056,295130,30366,141455,17000,134532,88613,59932,274900,25800,66625,140919,111350,105482,70400,117350,26682,193742,139467,330141
129320,115084,13104,74831,6400,72966,51972,37031,107600,5100,36323,49024,73970,41547,53600,40512,15795,118014,130336,191969
65406,58957,9431,31307,2400,45265,33915,5170,50000,1300,23687,20370,41700,37367,31100,525,5948,44900,76904,108253
58090,49897,6503,20497,3500,32829,25476,-6208,38700,-1200,7288,21326,8220,21824,27900,-155,3600,24700,27027,-2170
49708,42361,5468,27532,4700,29375,10720,11143,31500,1100,8506,23300,11810,26707,25400,8047,4000,16900,19141,20962
40744,33362,5192,19808,1700,26042,7113,-1247,23500,-1600,6504,15000,2310,16916,26100,-9269,1650,14900,11708,32454
41048,43129,3342,17658,2300,14761,7198,2762,16700,-1300,16666,10400,5740,18979,24900,678,2220,17900,11033,17263
33527,34418,3110,13890,3500,20098,10289,7436,18900,-2200,18806,16600,3010,25185,26900,-10659,2620,17500,30619,-17596
46979,43605,4289,31711,5900,22908,19865,1651,29900,-2900,33530,28900,21740,31522,42100,9389,3896,39700,33318,53359
73029,41824,8464,35536,11000,20754,31535,-26123,55700,3800,43227,112500,2170,25832,49900,-16945,1103,53300,7900,-18806
287102,166788,21594,154416,40800,177724,118525,-52074,93500,-16100,117098,309663,50440,78080,71900,7859,11694,148600,31391,-214751
948901,543555,53471,288257,58900,283145,136448,46479,397100,3300,222226,479213,108470,238408,174000,-1402,75131,280367,220280,123769
266211,211704,18645,81681,10400,127698,48264,23361,169400,14000,41273,67966,98320,75191,45000,107384,20177,89001,133708,248904
107509,98873,7931,58439,4000,50194,31368,10125,68400,2700,35837,26298,48250,32966,35100,14562,10170,45801,61805,68045
74499,70100,5201,29437,4400,46672,27549,-2940,37000,-1100,22090,14286,25180,24394,25600,-1579,7440,63000,86821,5782
62904,43246,5006,23294,4800,37700,25027,4764,29600,-2500,22413,13046,5750,13045,24700,-14569,2372,40100,62384,37582
46937,38438,4606,25394,4500,26770,10981,-2546,27600,400,9499,11300,2210,16784,26200,-4452,2482,20900,13057,16719
41508,45487,5412,22588,1600,27829,9022,253,26700,-300,5549,11900,1430,23616,25300,8642,2462,17200,23729,33980
36875,50517,3915,19085,2200,20916,6584,60,19100,-100,9847,7000,9550,21678,24600,10218,2625,18100,16736,28569
33898,42128,2790,18210,3900,19530,7695,-2736,23500,300,14022,18800,7410,26197,29900,1757,3543,17500,14503,20547
44832,46887,3361,28639,5200,10802,10753,-2369,33700,1600,11955,32900,4510,22619,25600,2178,4609,38600,5828,16868
106842,97190,5104,52896,14400,29040,36415,-45142,24700,-2400,38569,96608,1670,5496,34000,-6256,9856,94900,28369,-64995
363804,314021,20364,105492,28800,69069,44073,-85216,87800,-9700,4298,164800,6620,1177,49800,100792,19702,101500,99035,-5880
184163,120772,10756,48418,10200,64946,41010,20069,75200,-1500,43469,45238,14170,7369,22600,77915,2238,40021,66584,124607
77343,66260,7127,38455,2800,88520,30063,37589,62300,2300,26387,15613,42190,8248,17500,57846,5313,40632,54525,40115
72687,46591,4455,41815,2000,53698,19140,17507,42500,2900,13854,12179,37030,6488,20300,45892,8840,31539,50545,2851
46369,39437,6448,17690,1800,21678,11397,-8022,24900,-2300,20463,3375,12260,12307,18000,-2022,5332,28900,30342,-3526
38938,33616,3837,14563,2900,13699,20176,-3270,22200,-2900,19110,8891,1610,2907,18200,-15164,1212,12400,18104,1870
35332,26404,1714,4286,800,23982,265,11979,19100,-1200,13340,11600,1670,5284,17000,-9430,132,12200,7211,-314
32682,29032,4827,19173,1800,22974,5951,10999,18900,-900,4052,11000,1730,10531,19900,-6726,1388,12200,14714,14545
32878,28741,2857,18143,2300,20953,7040,13713,18400,-400,10578,16100,2030,9996,20800,-7774,2409,13900,26230,16039
29818,22441,3075,13925,3500,17745,9233,12190,19200,-1200,19005,20400,2360,8828,20600,-3869,2460,20500,29364,24436
41314,21431,3901,26099,6200,8803,11905,9493,32000,700,33616,27900,1600,12564,23800,-13744,3477,50000,26124,12391
76316,39704,5207,42793,12600,7174,109317,185,55400,3900,48222,69800,5340,3547,23300,-25365,7580,203500,44077,-46864
208557,162469,16899,111111,27100,159168,194387,-23529,94000,-15800,130756,240320,14470,34318,63300,-59935,14868,313600,70330,-171084
719505,637676,54913,349315,70542,239162,207557,37384,405200,4900,184727,398939,95950,250201,135600,38517,71081,584918,238879,-16414
292846,258597,25983,121270,14303,130031,87120,68230,183200,15800,50715,89566,98750,58732,45700,86946,21147,233173,145804,227559
120373,76423,9998,69834,5200,63453,44970,43513,75900,5900,38243,29754,47520,21540,27500,28294,9253,101620,68365,71539
71490,56157,6875,39863,3100,37938,30971,13376,38600,200,21016,10756,26500,25829,23900,-3248,6786,69400,74142,40573
57312,54211,6798,29602,3600,36030,36094,-4484,25900,-2400,6657,10371,1970,3742,20100,1381,322,35700,33653,31167
52782,40683,4635,25365,3300,27606,18931,10844,25400,200,8230,13900,1180,16708,22200,-4271,221,22200,17085,12236
34132,39326,4115,15885,2800,27124,11345,8470,18400,-1900,8021,13200,1830,19440,20300,-17014,1356,14400,17574,27388
35643,38353,4456,17544,1900,26216,11320,7113,16800,-1100,19836,14700,2040,20955,22300,-25479,1863,14200,22098,13289
34364,34120,3264,16736,3000,21866,19641,20901,22000,-1000,24257,15500,4570,19662,21100,-11757,3454,13200,36942,16579
44126,31728,4138,25862,5700,19482,26487,9853,33700,1900,63635,27000,11700,14613,23800,-34034,6784,92200,45172,6052
214794,120597,12791,162209,45009,90019,232327,-40467,134500,21700,134668,255213,8060,34929,39900,-159681,16759,248500,67875,-239553
767749,456805,46288,349322,84049,229796,205143,-29003,407600,13900,191037,484736,74220,199408,127100,-11602,62015,289500,155734,-71375
615416,423440,33466,207451,41995,148844,118703,24742,530700,7300,121017,271997,54890,192566,103800,14577,57016,124629,132520,135051
270357,160586,22924,82223,7937,93282,53418,47565,198400,16200,59533,57580,87380,91018,47600,71985,18764,58867,65597,197838
186905,91378,13615,88855,7842,44071,39248,22792,153800,-2100,71449,32463,76430,54504,38100,46076,13267,83416,96983,103367
87169,51287,10286,39552,3304,39772,27235,2238,57100,2900,32335,10727,35130,28449,24000,-1329,5645,63200,87567,98912
65957,45585,6670,29930,3000,19178,17100,-9536,42600,-300,26104,12900,11710,12845,23200,-4228,1780,32400,35913,3824
53581,36426,4268,23732,4000,29041,14500,9631,34600,1500,15478,11900,15880,27188,19500,6004,3493,37100,32165,63096
39995,36428,4836,15164,2100,30730,11100,8189,29000,-1500,5420,11000,2430,23045,17600,-3192,2268,19900,28158,34456
34848,35613,3463,16537,2100,22225,11100,-9012,22800,-700,13377,10700,1890,17069,9800,-10441,2502,17200,7568,-8308
36284,34270,3373,16627,2700,21285,12200,6691,21300,-1600,15078,14400,5130,29874,16100,-2091,4034,22200,118309,38095
48119,42252,3562,22438,4100,34750,22900,18824,35400,2800,54779,36800,55050,36091,31700,30723,9242,104100,88692,18248
97426,66395,5340,98660,25500,41308,268600,11617,145300,28700,73627,99500,35220,48969,22000,8401,16758,388900,148928,-71591
443047,356887,33013,295997,71810,283680,316000,2670,246400,2900,149707,404007,101510,221271,84200,76515,61450,472700,216124,-6224
378819,292009,32542,156986,30705,146302,117400,37401,290900,1200,64531,262828,89650,183222,70100,136046,56463,260166,127349,223764
197450,151640,16963,77823,9400,105852,67300,70068,230700,21300,26147,87051,108880,89135,64900,151452,21738,99678,116089,209899
91519,69650,8472,51398,4500,51818,29800,20847,89200,6100,34784,30338,51930,46207,33700,23378,12049,52211,43862,86352
73901,60409,8398,24740,2400,42041,18200,10678,48300,1300,21838,15044,36750,39558,36000,14671,8946,24500,43388,65504
67429,56161,7003,31697,3000,39686,14800,1334,37700,-1400,24095,19726,12650,14348,28500,-2061,2806,28300,65920,54226
58744,45493,5298,26402,4600,31842,10200,6517,28000,200,11525,21000,12640,26224,19300,7453,2579,19400,14994,32181
42405,49703,5509,19391,5000,34855,10300,5260,25100,-2100,7443,23100,9590,30257,16900,14824,3003,13700,23016,53377
39685,39452,3878,21022,2900,30388,10200,5925,21800,-900,14055,21900,4730,18402,17500,7757,3353,15900,20507,27182
39156,32629,3597,18003,800,26562,11300,11946,23100,-900,21941,24100,11170,20892,20700,8853,4208,16800,30381,29338
67985,50003,4138,29662,6800,41325,40000,19411,33500,400,38777,50300,40560,33619,41700,29559,8937,100900,86259,70303
168126,109527,10337,121463,36600,193270,303300,7569,138000,18600,78612,169800,5130,51214,43200,-15238,18066,281300,95254,-175048
549480,350166,30126,244584,69888,348890,241400,38590,197400,-3700,157604,427860,84250,168306,125200,40117,49720,353600,144822,-19176
949532,630226,51608,395320,82358,329078,238800,66197,452500,7900,167852,386004,97360,255520,168600,47982,89404,436395,288478,183731
339706,274840,24639,140478,16409,151403,90100,86497,245800,23700,36548,91407,100910,97861,63800,99704,29137,141891,160691,287837
132250,96493,9348,70922,5200,77714,36900,31911,105800,6200,53083,33513,76760,56821,43000,-20505,15815,53546,49353,93258
120903,82256,9524,54114,4500,81146,47700,40669,77000,7400,25730,27705,58500,62426,54900,35427,12355,97612,111267,39641
70947,55213,9072,41228,4000,39836,19800,14473,77300,7200,23170,16620,35660,49988,30000,12786,7899,64200,45024,-5917
53927,50299,5145,34155,3300,36548,13800,5760,46000,5700,18240,18600,17660,33176,20100,18896,7093,30200,24588,36617
53038,51335,5437,21463,4100,39985,11400,-5553,37700,-100,8865,21800,16160,44083,18100,13139,3926,19100,28234,18885
50442,40732,5237,20463,3800,38387,9700,-4306,30500,900,15906,15500,11960,33328,20100,4066,3722,16800,26231,5019
40776,34701,4488,13612,1600,38790,9300,-901,26200,1200,19653,14100,5710,30886,20000,-10655,3730,13500,20667,13019
67632,44216,4786,46414,8900,49493,54800,5955,63500,29100,45055,74700,32950,41822,72500,36409,8707,95700,46519,-19854
148617,65820,10282,91918,20500,115217,125300,-2310,73900,4500,73265,178530,32560,46340,40400,14507,11076,148800,38459,-9142
608106,302926,38963,210550,40800,193840,123800,-50718,202700,-1100,61463,392068,32070,117832,98500,65727,40199,225405,107068,55080
460937,290457,26948,151348,21900,153923,75600,12583,195200,1000,67757,190146,27390,64709,81500,61999,33553,117016,108672,107643
159126,106406,10305,59431,1900,76526,37000,46724,134900,10200,34740,38237,62390,31398,33600,50946,9511,44221,59016,98224
88403,53614,5470,51000,2500,33710,18500,19673,84800,4400,31925,20515,49180,17510,29400,18782,8265,33331,26463,32186
57218,57621,5664,32574,200,47284,26300,28469,41400,500,20189,15669,28620,25287,29700,6930,7763,56200,79982,104392
55562,42527,4296,21704,1800,27572,11200,1858,32700,-1700,19765,19268,17310,16424,27000,8210,2583,21000,20280,8775
44186,33764,3580,22620,4000,31762,9200,6131,24600,-100,8016,14900,7080,19378,22300,5246,1589,20600,13705,20401
35645,26857,2115,20385,1100,27848,7300,6832,26200,-500,1366,9900,3420,23931,20400,6800,1192,12900,15468,35155
35867,27021,3130,16770,1000,29359,8000,11893,21700,-300,7466,9400,1460,21767,20900,3978,2293,14300,24827,1007
36514,26125,3111,12889,300,30657,12600,17480,22200,-300,3759,14300,5540,23957,21100,10149,3065,18700,31000,8028
48635,29862,3761,25139,3600,31792,22500,13323,36300,4500,13101,34600,27200,24565,24900,38085,6407,51100,18039,-18340
92474,49674,7698,56602,15400,65540,135700,-40,30100,-2100,41871,144139,4880,15926,36900,-3501,12164,98300,19881,-86096
378629,225736,23600,149956,37900,226122,200100,52830,93100,-9300,113636,384889,24690,110315,105200,2271,37646,189387,123823,-28071
416734,229996,15400,131664,25600,142930,110000,58878,160400,3100,55118,213015,48430,84405,72200,84455,35879,88513,94730,141364
160366,68844,4888,46702,4200,75877,41700,62760,53500,3100,37190,38271,51200,39131,29200,31153,10287,46606,66646,112605
70378,39653,4695,37675,2200,42019,24000,19725,45700,3400,23824,15789,33020,29463,24700,9484,6275,34269,40365,15688
67193,49151,4550,23788,2600,36646,21800,19771,26200,-1000,17174,9305,21760,18274,27900,10167,4511,38400,92576,34696
72396,53955,5180,23320,4000,68218,38700,56931,35800,200,22359,21526,23050,29931,30700,3427,4635,62187,86802,88492
