#Upper Colorado Basin Intervening Natural Flows (ac-ft/mon)
#start 1 1906
#end 12 2001
"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ"
47527,40603,4386,22614,1900,68156,14847,-8218,6000,3553,15089,15600,5107,33343,9843,-9146,7700,34734,36621,27289
51775,47983,4386,20614,3200,53112,12904,2416,6000,12001,34537,9007,561,22852,6988,-30458,9000,42612,19321,-39489
40592,45500,4713,17287,3500,47305,13732,-1549,36000,2930,53410,17799,10929,34267,16334,-32785,11100,36939,59232,76330
114650,76352,6968,82032,17400,63013,67930,18390,175000,33611,158469,108466,59694,64303,61997,41641,44800,139723,52335,17097
192236,112018,13854,161146,45400,67478,183623,-14769,130000,24179,99868,218954,60900,113159,76064,33407,46808,158355,63701,-55906
432027,336735,31778,286232,68900,213400,219717,2182,342100,-7418,146584,377300,121985,223833,121956,58552,86618,296042,126954,-186684
495871,352352,34431,251397,48500,152111,124793,49306,268400,16614,38204,210148,93751,130359,106681,123936,33389,212636,206685,152141
168640,180188,17958,86124,8300,112310,46510,29218,88800,8063,37829,57125,44157,47440,50868,59866,28193,65487,125094,110955
103566,83116,9057,53013,15600,36610,24999,4444,72900,3560,30025,26390,36959,20580,38697,39959,14078,63802,50879,138397
91501,53570,9612,33226,3400,49760,22694,1393,32300,5923,19562,23482,25140,25777,29259,15556,17015,34148,60467,77214
61615,49115,6837,28363,2400,42257,35700,19490,56400,-1801,28583,22912,14540,36966,27044,19535,13808,74752,58489,19463
53782,43946,4605,24395,3700,34616,13520,18586,39000,2725,2334,23403,10499,23612,21739,11980,5905,61239,24310,21873
40929,47523,4979,22021,2500,44124,11418,8866,21000,12814,10187,18017,3293,25818,15365,-13290,6200,59311,-2771,7618
43131,39476,4984,21016,2900,39610,9317,4606,47000,421,33906,16169,8115,27104,15618,-5008,13800,38838,16642,-10271
41643,33873,3524,17476,4500,44511,12104,3409,56000,-3961,50350,20754,14712,29852,24050,-649,10900,52036,38803,28710
57967,59592,4372,31628,7000,89387,56146,21958,97000,6328,93410,60804,36022,32114,36930,23715,10100,118296,59584,-242
107070,74298,6174,103826,27000,13962,121106,956,45000,498,36640,123326,18500,28701,50941,24677,9708,254590,44989,-140147
505588,280125,34843,295167,71000,237033,214879,27859,32900,10399,79153,364002,54311,131443,102063,6708,38918,463704,189353,-214811
720399,393357,68639,384289,79400,152348,150495,83959,266500,1762,201572,339430,105484,231917,126084,38065,50689,505255,233571,-8873
336010,251235,42337,216945,25100,81398,69330,85840,187900,2806,87946,117282,52605,97779,79880,75132,22893,210213,180624,130529
140938,92822,14842,96228,7800,33368,31918,21783,102400,-1518,51106,30563,33116,36115,43228,30946,20378,127961,132782,-30161
83611,56938,11649,56189,4700,30029,23840,3871,40600,3535,26176,17158,19199,12991,29661,1568,11315,90548,114868,-44799
88882,96684,14694,105506,12000,26985,103754,24503,46100,4316,28173,32579,23746,49368,33566,18200,22008,67791,112457,226692
54486,43461,6696,39304,5500,37524,20423,12656,34000,3876,17527,21688,13078,22970,21017,-589,3805,71761,5364,7508
40166,46510,6305,27695,3100,40840,12852,5572,27000,2251,7943,18461,6359,29703,20984,-11702,3700,46690,17731,881
47237,45736,4052,24948,4200,30968,10594,4305,23000,-1278,20838,15341,4392,26966,19249,-2689,3100,42241,24250,-1409
43409,31653,3400,21600,3700,29347,12377,10554,21000,-1238,33874,12058,2824,30042,14365,-9489,4000,39381,34278,-10098
49562,42909,4285,37715,7100,37736,36226,9612,35000,5651,33179,41789,14427,37923,33803,25037,6100,98485,43021,-61417
84179,63244,8789,104211,53200,-29622,144522,-32815,60000,17038,58422,122286,29252,40211,56820,6841,5708,243880,40911,-174669
469364,398814,34103,328907,78800,426861,352771,437,162000,11126,105220,455609,86964,126630,120378,-41958,33318,438143,208296,-111631
1164973,570865,62529,395599,79500,386835,180894,45728,584100,26255,264252,636888,183933,396929,197439,101369,113289,410531,286537,62651
617765,386645,45020,226962,24800,184796,89615,45258,416400,31165,88744,236885,91355,136249,106159,86269,30793,181875,150193,29288
218221,162211,15671,87399,7400,82791,50220,12660,168800,10118,67098,56093,68139,60214,56879,66978,17578,104016,91285,-41399
108734,59459,12504,45334,2700,44158,26921,4243,66500,6791,36525,25341,36742,38187,31263,4782,5115,79690,102295,-105742
92922,68921,10093,46907,6000,20495,37121,8981,53000,7453,41146,30779,14240,36342,26834,16110,23608,36232,55927,3162
53868,60387,5327,23673,4400,35834,33100,12471,45000,12715,22397,23895,10175,37167,27068,30186,11905,27102,28091,28305
