700 Year Tree Ring ENSO Index Reconstructions
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 700 Year Tree Ring ENSO Index Reconstructions
LAST UPDATE: 9/2009 (Original receipt by WDC Paleo) 
CONTRIBUTOR: Ed Cook, Lamont-Doherty Earth Observatory 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2009-105 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Cook, E.R., et al. 2009.  
Tree Ring 500 Year ENSO Index Reconstructions. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2009-105. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Cook, E.R., R.D. D'Arrigo, and K.J. Anchukaitis. 2008. 
ENSO reconstructions from long tree-ring chronologies: 
Unifying the differences? 
Talk presented at a special workshop on 
"Reconciling ENSO Chronologies for the Past 500 Years", 
held in Moorea, French Polynesia on April 2-3, 2008.

ABSTRACT: 


GEOGRAPHIC REGION: Pacific
PERIOD OF RECORD: 1300-1979 AD (1980-2006 data are instrumental) 

FUNDING SOURCES: 

 

DESCRIPTION: 
Reconstructions of Niño 1+2, 3, 3.4, and 4 indices based on tree-ring 
data from Mexico and Texas.  The reconstructions go back to AD 1300, 
with the best verified portion beginning in AD 1400. Post-1979 data 
are all instrumental, reconstructions cover the period AD 1300-1979.

The four recons are very similar because they are based on only 
reconstructing the two leading modes (EOFs) of tropical Pacific 
December-January-February Sea Surface Temperature variability. 




DATA:

Year      Niño1+2     Niño3    Niño3.4      Niño4
1758        0.07       0.27      0.305      0.145
1759       0.244      0.214      0.185      0.028
1760      -0.289     -0.405     -0.444     -0.305
1761      -0.081     -0.029     -0.032     -0.066
1762       0.473      0.609      0.601      0.313
1763      -0.641      -0.83     -0.891     -0.636
1764      -0.236     -0.235     -0.267     -0.316
1765      -0.012     -0.052     -0.162     -0.269
1766       0.454      0.558      0.525      0.286
1767       0.149      0.086      0.057      0.015
1768      -0.088     -0.123     -0.157     -0.187
1769       0.305      0.429      0.462       0.29
1770       0.629      0.697      0.677      0.326
1771       0.427      0.476      0.475      0.257
1772      -0.499     -0.453     -0.479     -0.467
1773      -0.695     -0.763     -0.795     -0.594
1774      -0.275     -0.212     -0.229     -0.183
1775       -0.41     -0.547     -0.667     -0.516
1776      -0.154      -0.13     -0.207     -0.232
1777      -0.377     -0.579     -0.758     -0.672
1778      -0.467     -0.543     -0.624      -0.54
1779      -0.179     -0.223     -0.259     -0.194
1780        0.68      0.881      0.918      0.669
1781      -0.252     -0.417     -0.477     -0.345
1782      -1.219     -1.486     -1.623     -1.273
1783       0.431      0.546      0.512      0.217
1784       0.565      0.641      0.614      0.379
1785      -0.438     -0.596      -0.61     -0.378
1786      -0.596      -0.69     -0.682     -0.453
1787       0.068       0.17      0.208      0.171
1788       0.405      0.447      0.428      0.271
1789      -0.439     -0.545     -0.562     -0.362
1790      -0.502     -0.561     -0.541     -0.316
1791       0.956      1.238      1.295      0.876
1792       1.188      1.394      1.486      1.124
1793       1.114      1.247      1.301      0.807
1794       0.149      0.141      0.158      0.024
1795       -0.51      -0.71     -0.741     -0.688
1796       0.162      0.256      0.201     -0.011
1797      -0.097     -0.104     -0.132     -0.072
1798      -0.677     -0.816     -0.902     -0.697
1799       0.474       0.65      0.713      0.544
1800       0.678       0.78      0.766      0.418
1801      -0.697     -0.917     -0.963     -0.645
1802      -0.673     -0.803     -0.906     -0.774
1803      -0.361     -0.427     -0.541     -0.483
1804       0.765      0.988      0.985      0.612
1805      -0.798       -1.1     -1.213     -0.881
1806      -1.069     -1.156     -1.236     -0.931
1807      -0.012      0.066      0.086      0.028
1808      -0.438     -0.558     -0.683     -0.552
1809      -0.101     -0.146      -0.21     -0.243
1810       0.059      0.061      0.028     -0.077
1811       0.123      0.162      0.191      0.147
1812      -0.441     -0.623     -0.709     -0.608
1813       -0.44     -0.471     -0.459     -0.312
1814       0.778       1.03      1.056      0.676
1815       1.098       1.31       1.36      0.918
1816       1.279      1.554       1.67      1.114
1817        0.21      0.239      0.296      0.227
1818      -0.293     -0.318     -0.271     -0.167
1819      -1.093     -1.288     -1.338     -0.927
1820      -0.826     -0.883     -0.969     -0.696
1821       0.171      0.226      0.158      0.083
1822      -0.094     -0.137     -0.199     -0.177
1823      -0.509     -0.624     -0.671     -0.499
1824        0.04      0.179      0.212      0.065
1825       0.363       0.52      0.613      0.546
1826      -0.424     -0.562     -0.594     -0.365
1827       0.313      0.431      0.449      0.288
1828       0.478      0.564      0.542      0.301
1829       0.129      0.071      0.008     -0.102
1830      -0.495       -0.6     -0.641     -0.517
1831      -0.111     -0.053     -0.072     -0.119
1832       0.415      0.556      0.598      0.481
1833        0.99      1.219      1.254      0.823
1834       0.469      0.471      0.478      0.266
1835       0.056      0.055      0.021     -0.133
1836      -0.257     -0.354     -0.374     -0.331
1837       0.885      1.142      1.169      0.735
1838       0.675      0.831      0.814      0.493
1839       0.854      1.019      1.057      0.635
1840       0.138      0.181      0.195      0.008
1841      -0.278      -0.33     -0.421     -0.507
1842      -0.612     -0.631     -0.647     -0.448
1843      -0.169     -0.285     -0.417     -0.414
1844        0.01     -0.022     -0.131     -0.259
1845       0.319      0.445      0.416      0.171
1846       0.298      0.237      0.225      0.086
1847      -0.324     -0.308     -0.231     -0.081
1848      -0.302       -0.3     -0.337     -0.252
1849      -0.104     -0.105      -0.17     -0.241
1850       0.422      0.456      0.437      0.241
1851      -0.271      -0.37     -0.426     -0.334
1852       0.528       0.79      0.877      0.585
1853       0.142      0.164       0.19      0.185
1854      -0.199     -0.252     -0.266      -0.22
1855      -0.383     -0.465     -0.516     -0.471
1856       0.459      0.602      0.557       0.24
1857      -0.639     -0.926     -1.166     -1.029
1858       0.272      0.453      0.445      0.189
1859      -0.453     -0.601      -0.68     -0.514
1860      -0.626     -0.734     -0.826     -0.676
1861      -0.078     -0.027      0.013      0.058
1862      -1.001      -1.31     -1.407     -0.964
1863      -0.854     -1.009     -1.134      -0.92
1864      -0.567     -0.681      -0.79     -0.653
1865       0.124       0.17      0.111      0.017
1866      -0.409     -0.603     -0.714     -0.604
1867      -0.191     -0.126     -0.066     -0.041
1868       0.131      0.163      0.184      0.149
1869       0.577      0.679      0.648      0.317
1870      -0.386     -0.536     -0.612     -0.525
1871      -0.846     -1.008     -1.088      -0.83
1872        -0.5     -0.543     -0.591     -0.461
1873      -0.308     -0.388     -0.439     -0.288
1874      -0.097      -0.11     -0.131     -0.097
1875       0.268      0.352      0.352      0.191
1876       0.144      0.256      0.331      0.318
1877       0.627      0.679      0.669      0.341
1878       0.339      0.363      0.373      0.255
1879       -0.03     -0.072     -0.101     -0.177
1880       -1.24     -1.531     -1.578     -1.097
1881       0.332      0.587      0.647       0.48
1882       0.593      0.669      0.624      0.376
1883        0.22      0.197      0.184      0.123
1884       0.502      0.632      0.766      0.612
1885       0.946      1.165      1.212      0.758
1886      -0.099     -0.167     -0.163     -0.097
1887      -1.061     -1.294     -1.404     -1.103
1888       1.054      1.433      1.503      1.018
1889       1.025      1.251      1.249      0.803
1890      -1.006     -1.225     -1.286     -0.953
1891        0.28      0.554      0.651        0.4
1892       0.042     -0.015     -0.124     -0.199
1893      -1.311     -1.656     -1.737     -1.171
1894      -0.324     -0.271     -0.325      -0.28
1895       0.807      1.007      0.973      0.676
1896       0.251      0.228      0.242      0.249
1897       1.033       1.28      1.374      0.918
1898       0.017     -0.161     -0.221     -0.346
1899        -0.3     -0.304     -0.265     -0.168
1900       0.675      0.876      0.957      0.703
1901        0.77       0.92      0.971       0.74
1902      -0.208     -0.298     -0.287     -0.181
1903       0.936      1.209      1.267      0.797
1904      -0.995      -1.24     -1.287     -0.933
1905       1.204      1.613      1.721      1.144
1906      -0.096     -0.145      -0.19     -0.159
1907      -0.116     -0.087     -0.146     -0.226
1908       0.178      0.257      0.243      0.047
1909      -0.616     -0.772     -0.856     -0.695
1910      -0.701     -0.811     -0.905     -0.771
1911       -0.01      0.024      -0.04     -0.128
1912       1.104      1.356      1.304      0.731
1913        1.06      1.201      1.207      0.695
1914       0.541      0.651      0.681      0.362
1915       0.566      0.756      0.857      0.575
1916      -0.576     -0.706     -0.775     -0.662
1917      -0.495     -0.582      -0.64     -0.582
1918      -0.878      -1.06     -1.209      -0.92
1919       1.203      1.582      1.611       0.97
1920       0.475       0.46      0.365      0.105
1921      -0.208     -0.234     -0.258     -0.303
1922      -0.969     -1.047     -1.033     -0.794
1923      -0.162     -0.108     -0.098     -0.073
1924       0.178      0.076     -0.107     -0.235
1925      -1.624     -2.043     -2.196      -1.54
1926        0.65      0.978      0.997      0.552
1927      -0.003     -0.108     -0.168     -0.166
1928        0.05      0.043      0.037     -0.053
1929      -0.638     -0.775     -0.838     -0.655
1930       0.514      0.592      0.602      0.364
1931       1.207      1.385      1.404      0.873
1932        0.24      0.214      0.255      0.241
1933      -0.165     -0.145     -0.095     -0.084
1934      -0.861      -1.06     -1.156     -0.904
1935       -0.07     -0.089     -0.081     -0.018
1936      -0.044     -0.043     -0.017      0.102
1937      -0.284     -0.374     -0.349     -0.142
1938      -0.116     -0.085     -0.052      0.036
1939      -0.364     -0.521     -0.574     -0.404
1940       0.423      0.616      0.647      0.505
1941       1.213      1.427      1.521      1.132
1942       0.674      0.767      0.863      0.708
1943      -0.492     -0.665     -0.609     -0.328
1944       0.768      0.964      1.084      0.809
1945       0.305      0.352      0.431      0.423
1946      -0.523     -0.651     -0.655     -0.329
1947       0.331      0.472      0.553      0.395
1948       0.439      0.489       0.47      0.316
1949       0.406      0.433      0.428      0.266
1950      -0.639     -0.774     -0.793     -0.573
1951      -0.832     -0.991     -1.005     -0.599
1952       -0.05     -0.091     -0.097     -0.009
1953       -0.53     -0.658     -0.757     -0.557
1954      -0.713     -0.924     -1.047     -0.751
1955      -0.473     -0.568     -0.614     -0.439
1956      -0.988     -1.259     -1.343     -0.886
1957      -0.215     -0.256     -0.271     -0.173
1958       1.077      1.478      1.598      1.268
1959       0.088      0.078      0.149      0.246
1960       0.046     -0.029     -0.011     -0.019
1961      -0.467     -0.559     -0.589     -0.413
1962       0.281      0.376      0.435      0.429
1963       0.088      0.046      0.075      0.185
1964        0.41      0.557      0.624       0.52
1965       0.168      0.149      0.198      0.165
1966       0.498      0.614      0.667      0.448
1967      -0.483     -0.618     -0.553     -0.194
1968       0.003      0.109      0.161      0.152
1969       0.712      0.888      1.007      0.906
1970      -0.066     -0.283     -0.299     -0.136
1971      -1.424     -1.862     -1.922     -1.258
1972      -0.829     -0.973     -1.066      -0.86
1973       0.797      0.986      1.036       0.78
1974      -1.427     -1.845      -2.01      -1.37
1975      -0.182      -0.19     -0.177     -0.104
1976      -0.458     -0.623     -0.727     -0.646
1977        0.54       0.68      0.713      0.524
1978       0.292      0.308      0.352      0.339
1979       0.985      1.236      1.345      0.943
1980        0.03      0.497      0.598      0.716
1981      -0.763     -0.224     -0.142      0.183
1982       0.088      0.337      0.035      0.169
1983        3.02      3.101      2.532       0.95
1984       0.189     -0.309     -0.521     -0.426
1985      -0.437     -0.962     -1.007      -0.49
1986       0.109     -0.468     -0.448       0.06
1987        1.26      1.192      1.333      0.868
1988         0.6      0.776      0.809       0.92
1989        0.08     -1.173     -1.711     -1.374
1990      -0.027     -0.011       0.15      0.454
1991       0.047      0.254      0.527      0.865
1992       1.017      1.521       1.79      0.998
1993       0.352       0.22      0.401      0.652
1994       0.232      0.186      0.188      0.433
1995       0.926      0.985      1.129      1.109
1996      -0.164     -0.473     -0.637     -0.184
1997      -0.241     -0.543      -0.32      0.289
1998       3.799      3.228      2.452      1.026
1999       0.132     -0.829     -1.394     -1.194
2000      -0.383     -1.251     -1.561      -1.08
2001       -0.07     -0.327     -0.674     -0.625
2002       -0.25     -0.213     -0.057      0.481
2003       0.623      0.993      1.178       1.02
2004       0.466      0.602      0.405      0.612
2005       0.181      0.481      0.646      0.988
2006       0.178     -0.653     -0.775     -0.294

