year	nchr	arc5	atr4	bfb3	cat51	ccc5	cod21	col5	dil13	dis5	djm	dou6	dry8	efu4	egl34	enc13	fbn	gmr20	gou31	gvr6	har2	hot1	lan34	lbc1	ltb7	mcp5	mdp6	mtr3	nav2	nmm8	nmv6	npu20	nur	pic14	plu6	prd31	pum85	rck6	red4	rif16	rpc12	sap4	sar21	sfk4	slk21	srs6	trg55	trp7	una43	vas4	wed31	wil44
1400	7	NA	NA	0.373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.814	NA	NA	NA	NA	0.943	NA	NA	NA	NA	NA	NA	NA	0.238	NA	NA	1.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.634	NA	NA	NA	NA	NA	0.61	NA	
1401	7	NA	NA	0.991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.716	NA	NA	NA	NA	0.938	NA	NA	NA	NA	NA	NA	NA	0.439	NA	NA	0.716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.001	NA	NA	NA	NA	NA	0.745	NA	
1402	7	NA	NA	0.896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.173	NA	NA	NA	NA	0.145	NA	NA	NA	NA	NA	NA	NA	0.389	NA	NA	1.494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.993	NA	NA	NA	NA	NA	0.53	NA	
1403	7	NA	NA	0.666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.948	NA	NA	NA	NA	0.547	NA	NA	NA	NA	NA	NA	NA	0.38	NA	NA	1.181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.313	NA	NA	NA	NA	NA	0.384	NA	
1404	7	NA	NA	1.495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.405	NA	NA	NA	NA	1.096	NA	NA	NA	NA	NA	NA	NA	0.913	NA	NA	1.316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.031	NA	NA	NA	NA	NA	1.079	NA	
1405	7	NA	NA	1.216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.121	NA	NA	NA	NA	0.849	NA	NA	NA	NA	NA	NA	NA	1.047	NA	NA	0.951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.731	NA	NA	NA	NA	NA	1.162	NA	
1406	7	NA	NA	1.327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.848	NA	NA	NA	NA	1.051	NA	NA	NA	NA	NA	NA	NA	1.399	NA	NA	1.015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.897	NA	NA	NA	NA	NA	1.157	NA	
1407	7	NA	NA	1.252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.721	NA	NA	NA	NA	0.463	NA	NA	NA	NA	NA	NA	NA	1.126	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.656	NA	NA	NA	NA	NA	0.804	NA	
1408	7	NA	NA	1.048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.382	NA	NA	NA	NA	0.724	NA	NA	NA	NA	NA	NA	NA	0.913	NA	NA	0.977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.983	NA	NA	NA	NA	NA	0.955	NA	
1409	7	NA	NA	1.519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.148	NA	NA	NA	NA	0.785	NA	NA	NA	NA	NA	NA	NA	1.858	NA	NA	0.995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.989	NA	NA	NA	NA	NA	1.021	NA	
