1911	10	398
1911	11	395
1911	12	398
1912	1	507
1912	2	421
1912	3	530
1912	4	1877
1912	5	4396
1912	6	5430
1912	7	1514
1912	8	660
1912	9	500
1912	10	450
1912	11	477
1912	12	350
1913	1	352
1913	2	402
1913	3	559
1913	4	2404
1913	5	4271
1913	6	3488
1913	7	1334
1913	8	662
1913	9	439
1913	10	480
1913	11	600
1913	12	414
1914	1	448
1914	2	496
1914	3	1222
1914	4	2948
1914	5	4121
1914	6	2725
1914	7	999
1914	8	414
1914	9	422
1914	10	548
1914	11	430
1914	12	277
1915	1	306
1915	2	365
1915	3	569
1915	4	1458
1915	5	2002
1915	6	1575
1915	7	734
1915	8	356
1915	9	335
1915	10	326
1915	11	324
1915	12	370
1916	1	309
1916	2	318
1916	3	1027
1916	4	3078
1916	5	3865
1916	6	4935
1916	7	2653
1916	8	691
1916	9	454
1916	10	447
1916	11	327
1916	12	307
1917	1	280
1917	2	313
1917	3	421
1917	4	1373
1917	5	4357
1917	6	5207
1917	7	2149
1917	8	508
1917	9	350
1917	10	326
1917	11	329
1917	12	875
1918	1	664
1918	2	500
1918	3	1061
1918	4	2586
1918	5	3290
1918	6	4593
1918	7	915
1918	8	452
1918	9	371
1918	10	413
1918	11	366
1918	12	307
1919	1	265
1919	2	296
1919	3	614
1919	4	2451
1919	5	4004
1919	6	1997
1919	7	563
1919	8	307
1919	9	275
1919	10	331
1919	11	409
1919	12	291
1920	1	435
1920	2	283
1920	3	427
1920	4	1083
1920	5	3894
1920	6	3249
1920	7	1007
1920	8	424
1920	9	419
1920	10	494
1920	11	583
1920	12	528
1921	1	580
1921	2	630
1921	3	1315
1921	4	2352
1921	5	6133
1921	6	5879
1921	7	1399
1921	8	533
1921	9	447
1921	10	402
1921	11	541
1921	12	585
1922	1	374
1922	2	377
1922	3	587
1922	4	1549
1922	5	4555
1922	6	5182
1922	7	1156
1922	8	478
1922	9	338
1922	10	326
1922	11	350
1922	12	377
1923	1	374
1923	2	367
1923	3	545
1923	4	1573
1923	5	3409
1923	6	2987
1923	7	1532
1923	8	467
1923	9	343
1923	10	388
1923	11	361
1923	12	346
1924	1	329
1924	2	459
1924	3	394
1924	4	1012
1924	5	2073
1924	6	723
1924	7	321
1924	8	236
1924	9	239
1924	10	305
1924	11	418
1924	12	310
1925	1	325
1925	2	746
1925	3	1019
1925	4	3069
1925	5	5201
1925	6	3020
1925	7	1259
1925	8	477
1925	9	382
1925	10	400
1925	11	363
1925	12	400
1926	1	381
1926	2	402
1926	3	764
1926	4	1661
1926	5	1953
1926	6	904
1926	7	365
1926	8	262
1926	9	257
1926	10	270
1926	11	509
1926	12	603
1927	1	411
1927	2	583
1927	3	879
1927	4	2138
1927	5	4214
1927	6	5669
1927	7	1896
1927	8	565
1927	9	456
1927	10	484
1927	11	1099
1927	12	730
1928	1	624
1928	2	563
1928	3	1366
1928	4	1878
1928	5	6526
1928	6	2605
1928	7	933
1928	8	427
1928	9	340
1928	10	360
1928	11	348
1928	12	323
1929	1	300
1929	2	312
1929	3	590
1929	4	1036
1929	5	2657
1929	6	2513
1929	7	784
1929	8	329
1929	9	285
1929	10	297
1929	11	273
1929	12	493
1930	1	294
1930	2	532
1930	3	639
1930	4	2074
1930	5	2207
1930	6	2047
1930	7	586
1930	8	342
1930	9	299
1930	10	408
1930	11	316
1930	12	267
1931	1	300
1931	2	325
1931	3	570
1931	4	1358
1931	5	2136
1931	6	1047
1931	7	328
1931	8	225
1931	9	233
1931	10	267
1931	11	271
1931	12	269
1932	1	292
1932	2	289
1932	3	689
1932	4	1903
1932	5	4305
1932	6	3657
1932	7	1105
1932	8	412
1932	9	314
1932	10	318
1932	11	356
1932	12	273
1933	1	320
1933	2	313
1933	3	427
1933	4	1452
1933	5	2406
1933	6	4590
1933	7	850
1933	8	354
1933	9	288
1933	10	312
1933	11	332
1933	12	374
1934	1	475
1934	2	561
1934	3	1172
1934	4	2164
1934	5	1829
1934	6	799
1934	7	330
1934	8	224
1934	9	223
1934	10	302
1934	11	403
1934	12	361
1935	1	371
1935	2	437
1935	3	515
1935	4	1955
1935	5	3220
1935	6	3046
1935	7	782
1935	8	332
1935	9	258
1935	10	273
1935	11	287
1935	12	265
1936	1	292
1936	2	297
1936	3	526
1936	4	3514
1936	5	4593
1936	6	2540
1936	7	638
1936	8	344
1936	9	298
1936	10	279
1936	11	263
1936	12	292
1937	1	271
1937	2	301
1937	3	497
1937	4	1160
1937	5	2907
1937	6	1535
1937	7	478
1937	8	259
1937	9	236
1937	10	276
1937	11	347
1937	12	833
1938	1	468
1938	2	463
1938	3	881
1938	4	2668
1938	5	4575
1938	6	4326
1938	7	1496
1938	8	509
1938	9	361
1938	10	408
1938	11	426
1938	12	421
1939	1	358
1939	2	360
1939	3	944
1939	4	2105
1939	5	2602
1939	6	1128
1939	7	493
1939	8	262
1939	9	258
1939	10	307
1939	11	274
1939	12	366
1940	1	373
1940	2	508
1940	3	1275
1940	4	2442
1940	5	3481
1940	6	1961
1940	7	533
1940	8	278
1940	9	322
1940	10	387
1940	11	433
1940	12	383
1941	1	361
1941	2	439
1941	3	662
1941	4	1235
1941	5	2708
1941	6	2225
1941	7	681
1941	8	424
1941	9	363
1941	10	356
1941	11	536
1941	12	821
1942	1	447
1942	2	446
1942	3	536
1942	4	2227
1942	5	2373
1942	6	2927
1942	7	1131
1942	8	394
1942	9	302
1942	10	297
1942	11	474
1942	12	510
1943	1	797
1943	2	711
1943	3	1165
1943	4	5658
1943	5	4771
1943	6	4703
1943	7	2975
1943	8	818
1943	9	458
1943	10	472
1943	11	532
1943	12	395
1944	1	364
1944	2	367
1944	3	437
1944	4	1113
1944	5	2215
1944	6	1944
1944	7	822
1944	8	357
1944	9	296
1944	10	297
1944	11	404
1944	12	319
1945	1	377
1945	2	475
1945	3	584
1945	4	1332
1945	5	3619
1945	6	3615
1945	7	1318
1945	8	460
1945	9	352
1945	10	345
1945	11	414
1945	12	531
1946	1	528
1946	2	475
1946	3	1148
1946	4	3675
1946	5	4465
1946	6	3070
1946	7	1062
1946	8	442
1946	9	379
1946	10	505
1946	11	556
1946	12	823
1947	1	469
1947	2	631
1947	3	1129
1947	4	2202
1947	5	4580
1947	6	2733
1947	7	1061
1947	8	431
1947	9	360
1947	10	459
1947	11	426
1947	12	410
1948	1	546
1948	2	419
1948	3	452
1948	4	1817
1948	5	4074
1948	6	3821
1948	7	963
1948	8	427
1948	9	348
1948	10	362
1948	11	402
1948	12	372
1949	1	342
1949	2	318
1949	3	753
1949	4	2700
1949	5	4585
1949	6	2658
1949	7	788
1949	8	373
1949	9	307
1949	10	361
1949	11	431
1949	12	396
1950	1	466
1950	2	547
1950	3	818
1950	4	2410
1950	5	3925
1950	6	4450
1950	7	2102
1950	8	625
1950	9	461
1950	10	512
1950	11	657
1950	12	596
1951	1	464
1951	2	746
1951	3	713
1951	4	3366
1951	5	4828
1951	6	3555
1951	7	1653
1951	8	612
1951	9	400
1951	10	609
1951	11	512
1951	12	617
1952	1	454
1952	2	504
1952	3	562
1952	4	3689
1952	5	5637
1952	6	3970
1952	7	1330
1952	8	555
1952	9	393
1952	10	341
1952	11	314
1952	12	390
1953	1	570
1953	2	549
1953	3	713
1953	4	2138
1953	5	3068
1953	6	5050
1953	7	2243
1953	8	577
1953	9	371
1953	10	337
1953	11	405
1953	12	375
1954	1	409
1954	2	622
1954	3	898
1954	4	2818
1954	5	4806
1954	6	3187
1954	7	1650
1954	8	523
1954	9	378
1954	10	359
1954	11	363
1954	12	325
1955	1	327
1955	2	303
1955	3	345
1955	4	785
1955	5	3272
1955	6	3902
1955	7	1230
1955	8	441
1955	9	323
1955	10	372
1955	11	555
1955	12	1510
1956	1	994
1956	2	571
1956	3	1135
1956	4	3862
1956	5	6132
1956	6	4720
1956	7	1563
1956	8	571
1956	9	402
1956	10	447
1956	11	441
1956	12	502
1957	1	373
1957	2	613
1957	3	917
1957	4	2252
1957	5	5593
1957	6	4188
1957	7	1200
1957	8	464
1957	9	364
1957	10	401
1957	11	367
1957	12	414
1958	1	386
1958	2	691
1958	3	632
1958	4	1665
1958	5	6737
1958	6	4069
1958	7	1107
1958	8	502
1958	9	377
1958	10	352
1958	11	509
1958	12	610
1959	1	516
1959	2	466
1959	3	580
1959	4	2002
1959	5	2612
1959	6	3402
1959	7	932
1959	8	418
1959	9	501
1959	10	699
1959	11	503
1959	12	395
1960	1	395
1960	2	385
1960	3	1026
1960	4	2264
1960	5	2831
1960	6	3016
1960	7	693
1960	8	387
1960	9	328
1960	10	322
1960	11	361
1960	12	328
1961	1	306
1961	2	444
1961	3	598
1961	4	1328
1961	5	2690
1961	6	2177
1961	7	474
1961	8	317
1961	9	329
1961	10	371
1961	11	381
1961	12	379
1962	1	405
1962	2	548
1962	3	492
1962	4	2890
1962	5	3056
1962	6	3530
1962	7	1169
1962	8	494
1962	9	349
1962	10	546
1962	11	507
1962	12	565
1963	1	421
1963	2	1170
1963	3	668
1963	4	1412
1963	5	3578
1963	6	3325
1963	7	1224
1963	8	469
1963	9	410
1963	10	386
1963	11	477
1963	12	371
1964	1	385
1964	2	384
1964	3	452
1964	4	1625
1964	5	3509
1964	6	3500
1964	7	1241
1964	8	458
1964	9	384
1964	10	338
1964	11	379
1964	12	1748
1965	1	899
1965	2	906
1965	3	935
1965	4	3614
1965	5	4940
1965	6	5876
1965	7	2675
1965	8	892
1965	9	584
1965	10	479
1965	11	435
1965	12	349
1966	1	384
1966	2	330
1966	3	706
1966	4	1711
1966	5	2529
1966	6	1530
1966	7	489
1966	8	281
1966	9	254
1966	10	276
1966	11	324
1966	12	325
1967	1	391
1967	2	391
1967	3	528
1967	4	863
1967	5	3635
1967	6	4256
1967	7	1423
1967	8	438
1967	9	338
1967	10	416
1967	11	403
1967	12	285
1968	1	306
1968	2	759
1968	3	950
1968	4	1337
1968	5	2228
1968	6	2484
1968	7	706
1968	8	571
1968	9	417
1968	10	480
1968	11	683
1968	12	488
1969	1	848
1969	2	572
1969	3	901
1969	4	3758
1969	5	4933
1969	6	3026
1969	7	1015
1969	8	448
1969	9	370
1969	10	386
1969	11	347
1969	12	358
1970	1	667
1970	2	660
1970	3	849
1970	4	1136
1970	5	4176
1970	6	4714
1970	7	1703
1970	8	545
1970	9	427
1970	10	401
1970	11	742
1970	12	645
1971	1	920
1971	2	982
1971	3	1025
1971	4	3002
1971	5	6159
1971	6	5437
1971	7	2415
1971	8	708
1971	9	490
1971	10	476
1971	11	455
1971	12	433
1972	1	497
1972	2	581
1972	3	2159
1972	4	2265
1972	5	5472
1972	6	5738
1972	7	1656
1972	8	621
1972	9	470
1972	10	449
1972	11	425
1972	12	438
1973	1	457
1973	2	415
1973	3	612
1973	4	1265
1973	5	2895
1973	6	2111
1973	7	688
1973	8	351
1973	9	345
1973	10	329
1973	11	828
1973	12	618
1974	1	986
1974	2	607
1974	3	1356
1974	4	3585
1974	5	5265
1974	6	6804
1974	7	2260
1974	8	737
1974	9	437
1974	10	411
1974	11	414
1974	12	370
1975	1	410
1975	2	418
1975	3	713
1975	4	991
1975	5	3710
1975	6	5193
1975	7	2837
1975	8	655
1975	9	415
1975	10	460
1975	11	497
1975	12	655
1976	1	472
1976	2	522
1976	3	643
1976	4	2227
1976	5	4792
1976	6	2913
1976	7	1119
1976	8	594
1976	9	516
1976	10	422
1976	11	352
1976	12	325
1977	1	297
1977	2	305
1977	3	326
1977	4	717
1977	5	782
1977	6	923
1977	7	351
1977	8	250
1977	9	263
1977	10	275
1977	11	362
1977	12	854
1978	1	463
1978	2	520
1978	3	1550
1978	4	2529
1978	5	3513
1978	6	3992
1978	7	2057
1978	8	579
1978	9	484
1978	10	374
1978	11	342
1978	12	335
1979	1	309
1979	2	394
1979	3	693
1979	4	1069
1979	5	2967
1979	6	1864
1979	7	536
1979	8	347
1979	9	283
1979	10	335
1979	11	303
1979	12	334
1980	1	495
1980	2	602
1980	3	704
1980	4	2687
1980	5	4101
1980	6	3192
1980	7	1489
1980	8	506
1980	9	467
1980	10	390
1980	11	461
1980	12	675
1981	1	529
1981	2	725
1981	3	806
1981	4	1648
1981	5	2757
1981	6	2518
1981	7	729
1981	8	366
1981	9	302
1981	10	347
1981	11	521
1981	12	694
1982	1	454
1982	2	1029
1982	3	1098
1982	4	2073
1982	5	5409
1982	6	5233
1982	7	2653
1982	8	820
1982	9	539
1982	10	588
1982	11	565
1982	12	569
1983	1	719
