    lat          lon      elev    precip
    39.083  -106.300  2797.150  -999.999
    39.094  -106.351  2805.684     0.000
    37.567  -102.400  1260.043  -999.999
    37.650  -102.533  1296.010  -999.999
    38.376  -108.742  1527.048     0.508
    37.267  -103.033  1524.914  -999.999
    39.639  -106.354  2519.782     5.080
    37.384  -107.582  2331.720    17.018
    39.949  -102.246  1188.720  -999.999
    39.918  -102.382  1188.720  -999.999
    38.717  -105.150  2958.999  -999.999
    40.966  -105.219  2138.172     8.636
    39.300  -102.733  1373.124  -999.999
    37.800  -106.833  2592.934  -999.999
    40.744  -106.279  2455.469     5.842
    37.630  -104.796  1920.240     7.112
    37.382  -102.299  1212.494     1.524
    40.426  -105.210  1594.104  -999.999
    37.430  -106.032  2317.395  -999.999
    40.333  -103.933  1325.880  -999.999
    40.726  -105.110  1603.248     6.096
    38.131  -105.466  2395.728     2.540
    39.133  -105.117  2378.964  -999.999
    39.100  -107.517  2531.974  -999.999
    38.217  -105.100  2007.108  -999.999
    38.133  -105.200  2377.440  -999.999
    38.133  -105.083  2244.852  -999.999
    39.764  -105.073  1666.037     1.270
    37.867  -104.114  1441.704  -999.999
    40.150  -104.183  1437.132  -999.999
    38.917  -107.517  1798.625  -999.999
    38.903  -103.019  1438.656  -999.999
    38.659  -102.997  1336.548  -999.999
    40.037  -106.204  2321.966     9.906
    40.467  -104.900  1457.249  -999.999
    39.868  -105.764  2776.118     9.144
    37.474  -106.791  3243.072    18.034
    37.483  -106.867  2876.093  -999.999
    39.101  -105.094  2365.248  -999.999
    40.075  -103.568  1333.195     2.540
    37.018  -104.489  2310.384     2.794
    40.061  -102.220  1121.664     0.762
    40.336  -102.259  1150.925  -999.999
    40.156  -106.909  2404.872    10.160
    37.521  -108.756  2090.928     8.128
    37.559  -108.664  2157.984  -999.999
    40.124  -102.721  1261.872     5.080
    40.209  -102.812  1252.728     4.318
    37.320  -105.070  3048.000     7.620
    40.350  -106.370  3340.608  -999.999
    39.900  -105.750  2950.464     7.620
    40.300  -105.630  2895.600     7.620
    40.070  -107.020  2767.584  -999.999
    37.700  -107.500  3535.680    12.700
    39.580  -106.500  2590.800  -999.999
    39.800  -105.770  3444.240    17.780
    39.750  -107.350  3316.224    20.320
    39.080  -106.530  3230.880     7.620
    39.300  -106.120  3398.520  -999.999
    40.220  -106.580  2816.352     2.540
    39.870  -107.580  2865.120    10.160
    38.880  -106.950  3096.768    12.700
    37.650  -107.800  2706.624    43.180
    37.650  -107.800  2718.816     7.620
    39.870  -108.600  2590.800  -999.999
    38.150  -106.580  3054.096  -999.999
    40.380  -106.600  2791.968     5.080
    38.420  -108.370  2865.120     7.620
    37.430  -108.020  3287.268    55.880
    40.200  -105.570  2621.280    12.700
    39.480  -106.170  3215.640     5.080
    40.170  -107.050  2773.680     5.080
    37.200  -105.180  3200.400     5.080
    37.020  -106.450  3060.192    40.640
    40.800  -105.770  3115.056     5.080
    40.530  -106.770  2560.320    58.420
    39.650  -105.580  3230.880  -999.999
    37.780  -108.020  3048.000    22.860
    40.830  -106.970  2651.760    10.160
    39.370  -106.180  3474.720     7.620
    38.870  -105.070  3493.008  -999.999
    37.470  -106.530  3541.776  -999.999
    39.630  -105.870  3383.280     7.620
    39.250  -106.500  3398.520  -999.999
    39.350  -106.070  3474.720     7.620
    37.930  -107.670  2987.040     7.620
    39.070  -106.600  3230.880     7.620
    39.280  -106.530  3169.920    12.700
    39.570  -105.800  3340.608  -999.999
    40.520  -105.880  3084.576    17.780
    39.750  -105.900  3169.920  -999.999
    39.320  -106.600  2926.080     7.620
    39.930  -105.580  2956.560     7.620
    40.400  -105.820  3261.360     7.620
    37.370  -106.530  3352.800    27.940
    37.780  -107.920  3108.960    15.240
    37.880  -108.180  2926.080     2.540
    40.800  -106.730  2840.736  -999.999
    39.670  -105.900  3474.720     7.620
    40.080  -106.670  2706.624     5.080
    37.420  -108.170  3048.000    12.700
    39.130  -107.280  2895.600     7.620
    39.600  -106.530  2889.504  -999.999
    37.850  -105.430  2941.015     0.000
    39.050  -108.050  3048.000    25.400
    39.430  -105.920  3230.880  -999.999
    37.620  -107.030  3429.000    33.020
    39.780  -106.020  2724.912  -999.999
    37.830  -107.720  3060.192    17.780
    37.730  -107.680  3200.400    17.780
    39.280  -106.600  2651.760     7.620
    39.600  -107.950  2682.240  -999.999
    40.400  -105.950  3133.344  -999.999
    40.030  -105.530  3444.240    12.700
    39.070  -107.150  2804.160    12.700
    39.080  -107.630  2999.232    17.780
    38.820  -106.580  2926.080    12.700
    39.030  -107.870  3035.808    35.560
    40.380  -105.830  2752.344     7.620
    38.480  -106.330  3279.648     2.540
    40.370  -106.730  2865.120     5.080
    40.700  -106.000  2749.296  -999.999
    37.880  -107.700  3413.760    17.780
    40.120  -107.280  3151.632     5.080
    40.870  -106.050  2956.560     2.540
    39.030  -106.080  3157.728  -999.999
    39.020  -107.050  3261.360    30.480
    37.630  -108.020  2773.680    10.160
    37.500  -108.120  3267.456  -999.999
