    lat          lon      elev    precip
    39.278  -103.496  1709.318    77.470
    39.716  -105.697  2596.896    58.620
    38.954  -109.053  1946.148    17.050
    39.000  -108.750  2135.124  -999.999
    40.390  -105.450  2240.280    52.070
    40.800  -105.883  2521.915  -999.999
    39.783  -106.017  2649.931  -999.999
    39.518  -107.317  1792.224    24.539
    39.720  -105.246  2292.096    57.404
    39.780  -105.320  2316.480    31.750
    40.150  -106.467  2318.004  -999.999
    40.509  -106.006  2743.200    44.260
    37.450  -102.883  1509.979  -999.999
    38.061  -102.311  1061.923  -999.999
    39.134  -108.540  1480.718    16.846
    39.042  -108.466  1450.848    19.903
    40.267  -105.832  2657.856    50.737
    40.185  -105.867  2526.182    43.117
    39.450  -108.050  1552.042    27.432
    39.461  -105.679  2644.140    65.333
    40.783  -107.833  2094.890  -999.999
    37.733  -105.512  2494.178    47.353
    40.417  -104.683  1417.930  -999.999
    40.402  -104.699  1437.132    42.337
    39.183  -104.850  2097.938    64.389
    39.104  -104.729  2279.904  -999.999
    39.217  -104.738  2103.120  -999.999
    39.879  -106.333  2359.152    38.174
    40.617  -108.667  2073.859  -999.999
    39.936  -105.350  2429.256    54.542
    40.867  -104.417  1548.994  -999.999
    38.687  -105.393  2717.292    80.264
    38.750  -105.533  2623.109  -999.999
    38.817  -105.533  2745.029  -999.999
    38.675  -105.392  2619.756    69.239
    38.526  -106.967  2331.110    35.012
    40.372  -107.612  1898.904    40.249
    40.358  -107.608  1950.720  -999.999
    37.483  -102.683  1360.018  -999.999
    39.033  -105.800  2705.100  -999.999
    38.449  -103.162  1379.220    60.416
    39.933  -105.283  1805.940  -999.999
    40.493  -107.255  1962.912    36.594
    37.772  -107.110  2757.830    54.783
    40.983  -108.617  2165.909  -999.999
    37.750  -103.467  1296.010  -999.999
    40.968  -106.000  2365.248    33.621
    38.049  -102.124  1033.272    69.886
    40.545  -102.341  1152.144    73.218
    40.050  -106.133  2318.004  -999.999
    40.583  -105.632  2901.696    36.520
    39.987  -104.085  1459.992  -999.999
    39.144  -103.490  1531.620    74.803
    39.750  -105.517  2306.117  -999.999
    39.699  -102.293  1208.532    68.251
    37.136  -107.626  1969.008    28.109
    37.086  -107.533  2018.081    28.512
    39.083  -106.617  3218.078  -999.999
    39.574  -105.220  2145.792    59.710
    37.000  -105.633  2308.860  -999.999
    39.632  -102.649  1295.705    81.103
    38.063  -102.930  1162.507    60.716
    39.767  -105.850  3147.974  -999.999
    40.987  -102.271  1057.351    61.457
    38.741  -103.543  1546.860    61.895
    39.490  -105.095  1702.918    37.592
    40.850  -103.900  1600.200    67.129
    39.591  -105.872  3063.240    36.576
    37.454  -103.322  1581.912    72.178
    37.200  -103.483  1770.888    96.647
    37.115  -103.299  1615.440    75.629
    39.283  -104.433  1937.004  -999.999
    39.300  -104.517  1997.964  -999.999
    39.617  -102.583  1220.114  -999.999
    38.766  -102.803  1316.736    66.314
    38.887  -102.722  1405.128    77.563
    37.117  -108.183  2018.995  -999.999
    40.057  -106.368  2273.808    34.779
    38.917  -103.867  1723.034  -999.999
    38.833  -103.833  1634.947    65.380
    38.049  -103.512  1278.331    42.704
    37.986  -103.541  1277.722    44.704
    37.751  -103.478  1283.208    61.021
    38.025  -107.315  2642.616    53.387
    38.908  -105.471  2606.040    57.078
    38.817  -104.983  3127.858  -999.999
    39.749  -105.121  1719.072    45.391
    38.094  -102.631  1105.510    57.577
    39.279  -104.920  2087.880    72.602
    38.064  -103.215  1185.672    54.302
    39.750  -103.600  1460.906  -999.999
    37.500  -105.000  2143.963  -999.999
    37.467  -105.167  2817.876  -999.999
    39.217  -106.300  3030.017  -999.999
    39.224  -106.316  3029.103    46.408
    37.377  -107.656  2464.308    77.294
    40.490  -103.082  1386.840    80.409
    38.117  -104.583  1495.044  -999.999
    39.150  -103.767  1695.907  -999.999
    39.267  -103.683  1637.081  -999.999
    39.189  -103.716  1695.298    59.079
    39.004  -103.739  1677.619    48.441
    39.756  -103.499  1478.585    75.425
    38.933  -108.850  2043.989  -999.999
    39.050  -108.850  1946.148  -999.999
    40.000  -108.200  1871.472    44.796
    39.617  -105.017  1618.488    51.508
    40.159  -105.074  1508.760    29.525
    40.247  -105.146  1569.720  -999.999
    40.435  -105.085  1548.384    39.082
    37.174  -105.939  2343.912    28.530
    37.335  -108.316  2113.483    41.679
    38.856  -104.933  2020.824    35.052
    38.400  -106.250  3308.909  -999.999
    39.621  -105.066  1709.928    40.936
    40.021  -107.556  2194.560    54.356
    40.024  -107.434  2377.440    57.444
    40.284  -108.602  1886.712    24.082
    39.129  -103.846  1776.984    87.931
    40.516  -108.095  1800.758    23.686
    40.036  -107.906  1898.904    26.975
    40.033  -107.917  1934.566    42.349
    40.133  -107.983  1961.083  -999.999
    39.362  -106.742  2385.060    40.170
    39.367  -106.683  2592.934  -999.999
    39.050  -108.083  2988.869  -999.999
    37.199  -108.488  2168.652    39.506
    38.617  -104.667  1631.899  -999.999
    39.833  -102.467  1250.899  -999.999
    37.067  -102.233  1335.938  -999.999
    37.581  -106.187  2344.522    31.408
    37.483  -106.150  2339.340    53.086
    38.483  -107.883  1763.573    42.164
    38.486  -107.879  1763.268    25.264
    39.083  -104.917  2239.061  -999.999
    39.081  -104.866  2113.788    80.836
    39.103  -104.868  2157.984    70.951
    38.049  -104.996  2019.910  -999.999
    39.656  -105.600  3240.024    78.706
    39.653  -105.203  1780.032  -999.999
    37.583  -105.183  2703.576  -999.999
    39.983  -105.500  2511.552    63.119
    40.036  -105.546  3051.048  -999.999
    38.183  -104.167  1342.034  -999.999
    40.609  -103.846  1457.858    65.512
    40.932  -103.868  1578.864    56.352
    37.814  -109.011  2036.064    34.152
    39.899  -105.013  1648.054    46.571
    37.217  -105.050  2684.069  -999.999
    38.132  -108.286  2139.696    52.669
    40.706  -104.783  1583.741    51.801
    40.241  -107.097  2499.360    41.529
    39.550  -107.933  2500.884  -999.999
    38.617  -107.983  1634.947  -999.999
    38.550  -108.000  1705.661    27.940
    38.222  -103.722  1315.212    48.175
    38.530  -103.706  1452.982    56.760
    40.267  -102.833  1274.064    56.947
    38.021  -107.669  2389.632    50.780
    38.026  -107.673  2359.152    45.974
    40.967  -102.383  1076.858  -999.999
    37.243  -107.017  2209.800    48.712
    37.266  -107.053  2317.090    41.874
    39.114  -108.351  1466.088    18.194
    37.433  -107.150  2467.051  -999.999
    39.120  -104.917  2212.848    77.386
    40.617  -102.467  1189.939  -999.999
    38.852  -107.624  1700.784    27.332
    38.867  -107.583  1807.464  -999.999
    39.450  -108.050  1551.432    38.572
    38.367  -108.950  1609.954  -999.999
    38.383  -108.983  1685.544    44.117
    38.390  -108.949  1658.112    47.583
    39.514  -104.750  1799.539    71.527
    39.529  -104.657  1923.288    63.289
    39.917  -106.117  2521.915  -999.999
    40.967  -106.567  2592.934  -999.999
    38.450  -105.067  1649.882  -999.999
    39.267  -104.967  1929.079    73.660
    39.004  -103.739  1677.619    48.441
    38.600  -106.533  2803.855    58.293
    37.994  -108.021  2301.240    56.506
    37.350  -106.533  2997.403    83.228
    37.588  -108.784  2090.928  -999.999
    38.267  -107.100  2467.051  -999.999
    37.317  -102.717  1338.986  -999.999
    37.233  -103.083  1578.864   112.014
    38.233  -104.633  1464.869  -999.999
    38.290  -104.498  1438.656    47.546
    38.283  -104.650  1430.122  -999.999
    38.267  -104.600  1434.084  -999.999
    38.283  -104.617  1463.954  -999.999
    38.317  -104.350  1427.074  -999.999
    38.260  -104.717  1479.804    50.443
    38.183  -104.650  1498.092    41.199
    40.241  -107.086  2441.143    49.752
    40.367  -106.717  2848.966  -999.999
    39.830  -105.235  1798.320    42.899
    40.449  -106.184  2630.424    43.773
    40.089  -108.772  1612.392    20.858
    40.867  -105.017  1741.932    67.056
    39.517  -106.367  2625.852  -999.999
    40.798  -105.586  2529.840    31.750
    40.783  -105.550  2488.692    54.305
    40.733  -105.517  2318.004  -999.999
    39.183  -107.233  2196.084  -999.999
    39.200  -107.300  2458.212    58.565
    37.717  -105.317  2407.920    44.232
    37.713  -108.039  2682.240    74.156
    38.151  -107.757  2194.560    51.938
    39.545  -107.785  1656.588    32.830
    37.726  -107.268  2881.884    56.107
    38.039  -103.693  1271.016    49.358
    40.150  -104.383  1445.971  -999.999
    39.429  -105.070  1864.462    52.070
    38.861  -104.094  1845.259    65.523
    40.702  -105.711  2346.960    33.190
    38.842  -104.974  2758.440    89.961
    37.900  -104.933  2087.880    76.327
    37.914  -104.948  2176.577    86.707
    38.086  -106.144  2347.265    33.548
    38.700  -106.367  3052.877  -999.999
    38.533  -106.016  2182.368    33.992
    38.533  -106.050  2282.343     1.016
    37.195  -105.424  2421.026  -999.999
    37.195  -105.424  2421.026    39.603
    37.650  -105.800  2296.973  -999.999
    37.822  -107.110  2952.598   111.760
    38.483  -107.183  2354.885  -999.999
    38.404  -106.424  2578.608    42.032
    38.400  -106.500  2479.853  -999.999
    39.404  -104.952  1821.180    48.859
    40.938  -102.525  1092.403    60.478
    40.859  -102.517  1216.152    63.772
    39.295  -102.869  1444.752    51.732
    39.550  -103.350  1578.864    91.101
    39.572  -103.292  1524.000    78.786
    37.715  -105.235  2363.419    57.954
    38.468  -102.295  1241.146    37.955
    39.572  -107.226  1807.464    32.170
    40.033  -105.576  3157.728  -999.999
    37.809  -107.663  2814.828    63.119
    39.140  -104.088  1828.495  -999.999
    40.583  -105.600  2773.375    38.799
    39.400  -105.183  1888.846    47.481
    40.472  -106.448  2555.748    45.963
    37.400  -102.617  1344.473   136.144
    37.369  -102.743  1408.786    65.242
    37.283  -102.617  1373.124  -999.999
    37.317  -102.717  1338.986  -999.999
    39.683  -105.500  3507.943    72.136
    37.217  -107.267  2030.882  -999.999
    40.488  -106.823  2093.976    43.328
    40.629  -103.208  1198.778    66.802
    37.293  -102.186  1158.850    76.187
    39.305  -102.600  1340.815    86.542
    39.434  -105.121  1780.032    48.337
    39.249  -106.371  2968.142    50.439
    37.433  -106.600  3461.918  -999.999
    40.500  -108.267  1787.042  -999.999
    40.000  -105.850  2541.118  -999.999
    37.517  -107.783  2225.040    74.073
    38.342  -104.057  1488.034    44.751
    38.818  -106.609  2805.989    49.189
    37.949  -107.873  2643.226    63.809
    39.333  -106.333  3126.029  -999.999
    37.071  -105.057  2520.696  -999.999
