    39.450  -103.933  1670.914  -999.999
    37.401  -104.655  1950.720    13.990
    37.317  -104.950  2634.691    24.807
    40.155  -103.142  1383.792     9.870
    40.172  -103.232  1420.978     8.482
    37.467  -105.883  2296.973  -999.999
    37.441  -105.861  2296.058     3.937
    37.439  -105.861  2296.058     6.482
    40.188  -105.502  2503.932    21.260
    40.229  -105.518  2590.800    34.752
    39.501  -108.379  1730.654    29.074
    37.867  -107.883  2651.760    45.176
    38.883  -103.650  1598.066  -999.999
    38.967  -105.950  2753.868  -999.999
    38.993  -105.892  2718.816     6.296
    39.037  -102.168  1262.482     8.264
    38.853  -102.176  1225.296     8.932
    38.684  -102.161  1248.461    14.542
    37.017  -107.417  1884.883  -999.999
    37.024  -107.437  1890.674    23.495
    38.917  -103.083  1460.906  -999.999
    40.033  -105.267  1638.300  -999.999
    40.244  -108.972  1804.416    15.814
    39.183  -106.833  2418.893  -999.999
    39.188  -106.836  2488.083    42.347
    37.600  -108.883     0.000  -999.999
    39.633  -106.517  2283.562    19.600
    39.017  -104.600  2204.923  -999.999
    39.405  -105.477  2356.104    12.401
    39.367  -107.033  2018.995  -999.999
    38.319  -108.890  1517.904    18.457
    39.750  -104.417  1671.218    17.971
    39.800  -105.783  3448.202    92.202
    39.300  -102.433  1281.074  -999.999
    38.867  -104.317  1841.906  -999.999
    38.555  -107.687  2484.425    43.879
    37.479  -105.572  2349.703     8.749
    37.683  -103.950  1363.066  -999.999
    38.457  -107.333  2295.144    55.880
    38.467  -107.168  2316.480    19.894
    39.883  -106.683  2043.989  -999.999
    39.103  -107.899  3022.092    68.099
    39.657  -102.118  1132.942    12.023
    38.173  -104.308  1400.861     9.652
    38.371  -104.306  1459.992     7.620
    38.217  -104.233  1351.788     2.858
    40.034  -105.281  1650.492  -999.999
    39.992  -105.267  1671.523    19.177
    39.317  -103.367  1609.954  -999.999
    37.233  -103.800  1708.099  -999.999
    38.917  -103.283  1445.057  -999.999
    38.460  -102.436  1196.340     4.939
    37.017  -103.883  1918.106  -999.999
    39.486  -106.043  2919.984    33.873
    40.635  -104.327  1473.403     5.119
    39.944  -104.836  1528.877    11.947
    40.801  -108.917  1631.899    11.303
    40.784  -108.854  1694.688    16.129
    40.863  -109.022  1712.976    12.040
    40.616  -105.297  2255.520    17.567
    38.825  -106.128  2421.941     7.475
    39.300  -102.279  1292.352     8.956
    39.483  -102.167  1289.914  -999.999
    39.250  -102.150  1292.962  -999.999
    38.033  -104.467  1478.890  -999.999
    39.740  -104.128  1554.480    10.931
    39.655  -105.709  3054.096    20.447
    37.016  -102.555  1255.166     9.476
    37.067  -102.233  1335.938  -999.999
    38.460  -105.226  1635.557    15.230
    40.000  -105.517  2549.957  -999.999
    37.667  -107.800  2699.004  -999.999
    39.411  -104.906  1885.188    15.579
    38.900  -107.933  1903.171    29.362
    38.903  -107.892  2081.784    20.117
    37.707  -106.144  2338.730     4.527
    37.164  -105.371  2509.418  -999.999
    39.220  -105.278  2097.024    11.548
    38.115  -103.510  1264.006     8.167
    39.626  -104.832  1721.206    11.834
    38.818  -102.361  1295.400     7.239
    37.200  -107.300  1997.964  -999.999
    38.433  -102.533  1189.939  -999.999
    38.444  -107.559  2101.901    23.340
    40.415  -102.627  1234.440    12.192
    39.367  -106.190  3442.411    48.977
    39.896  -105.385  2727.960    26.377
    38.383  -105.783  1991.868  -999.999
